Gas emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1960,0,0.084272,0,,0,,0,2.3633,0.40499,0,0,2.9202,4.3627,0,0,0.13149,0.003664,1.9528,0.062291,0,0,0,,0.010992,0,0.013529,,0.11358,,0.30411,0,0,0,0,0,21.537,0,,0,0,0.0916,1.9932,0.68883,0,0,,0,0.20015,0,0,0,1.3562,0,0,0,0,0,0,0,0,0,0,,0.12877,0,0,,0,0,6.2196,0,0,0.01426,0,1.0821,1.3484,0,,0,0,0,0,0,0,0,0,0,0,0,1.0113,0,0,4.6671,1.8391,1.1578,0,0,12.0802,0,1.6012,0,1.1153,0,,,1.8064,0.21777,0,0.45479,0,,0,0,,0.94305,0,0,0,0,0.14643,,0,0,,0,0,0,6.379,,0.60268,0,0,,0.01832,0,0.040304,,,0,0.64853,0,0,0,0,0,,0,0,0,,,1.0006,,0,0,0,0.12452,0,1.4693,0,0,0,20.0018,61.6638,0,0,,,0,0,0,0,0,0,0,0.096176,,0,0,1.4745,0.032846,0,0,0,0,0,0,0,0,0,0,0,0,0.047632,0.31161,0,0,,0,0,1.4677,0.014687,0,2.4782,,,0,12.5911,0,0.15022,630.0248,0,9.9597,,9.5008,0,,,0,0,0
1961,0,0.084137,0.4504,,0,,0,4.0304,0.50001,0,0,3.0888,5.1686,0,0,0.15945,0.0071923,2.4341,0.069616,0,0,0,,0.084272,0,0.015819,,0.11359,,0.2748,0,0,0,0,0,22.966,0,,0,0,0.10257,2.8176,0.71082,0,0,,0,0.23953,0,0,0,1.3249,0,0,0,0,0,0,0,0,0,0,,0.17183,0,0,,0,0,8.9193,0,0,0.014656,0,1.3164,1.4802,0,,0,0,0,0,0,0,0,0,0,0,0,0.92692,0,0.0036641,4.9281,1.9018,1.2238,0,0.007328,12.802,0,2.0445,0,1.4877,0,0,,1.8833,0.2849,0,0.57082,0,,0,0,,1.1722,0,0,0,0,0.1319,,0,0,,0,0,0,8.0352,,0.77185,0,0,,0.018302,0,0.029312,,,0,0.87936,0,0,0,0,0,,0,0,0,,,1.2149,,0,0,0,0.12458,0,1.854,0,0,0,21.537,79.8623,0,0,,,0,0,0,0,0,0,0,0.1126,,0,0,1.438,0.038723,0,0,0,0,0,0,0,0,0,0,0,0,0.069616,0.39375,0,0,,0,0,1.5938,0.014656,0,2.9765,,,0,16.5572,0,0.15022,636.4148,0,11.8937,,10.1126,0,,,0,0,0
1962,0,0.084272,0.68839,,0,,0,5.1076,0.59007,0,0.003664,3.2393,5.8767,0,0,0.1972,0.0072262,2.8824,0.076941,0,0,0,,0.080608,0,0.016551,,0.10991,0,0.29605,0,0,0,0,0,25.9778,0,,0,0,0.10261,2.323,1.0736,0,0,,0,0.23661,0,0,0,1.119,0,0,0,0,0,0,0,0,0,0,,0.22016,0,0,,0,0,10.4094,0,0,0.01832,0,1.5349,1.9676,0,,0,0,0,0,0,0,0,0,0,0,0,0.95623,0,0.010992,5.1919,2.0372,1.2384,0,0.021984,13.3992,0,2.6601,0,1.906,0,0,,2.5435,0.35676,0,0.68111,0,,0,0,,1.3861,0,0,0,0,0.13557,,0,0,,0,0,0,11.8487,,0.94247,0,0,0,0.018342,0,0.032976,,,0,0.96363,0,0,0,0,0,,0,0,0,,,1.4995,,0,0,0,0.12458,0,2.0775,0,0,0,25.4062,99.1299,0,0,,,0,0,0,0,0,0.021984,0,0.1176,,0,0,1.2148,0.039752,0,0,0,0,0,0,0,0,,0,0,0,0.069616,0.47444,0,0,,0,0,1.6268,0.014686,0,3.4287,,,0,20.8965,0,0.21618,676.3671,0,13.6936,0,10.6923,0,,,0,0,0
1963,0,0.084272,0.60456,,0,,0,5.8294,0.70296,0,0.007328,3.3782,6.8329,0,0.095264,0.24444,0.007328,3.4635,0.069614,0,0,0,,0.084018,0,0.020626,,0.16488,0,0.30045,0,0,0,0,0,22.3651,0,,0,0,0.10259,1.9566,1.3042,0,0,,0,0.28293,0,0,0,1.0451,0,0,0,0,0,0,0,0,0,0,,0.27515,0,0,,0,0,9.6973,0,0,0.01832,0,1.8093,2.5611,0,,0,0,0,0,0,0,0,0,0,0,0,1.3484,0,0.010992,5.3714,2.2055,1.3923,0,0.018312,13.6188,0,3.6713,0,2.3814,0,0,,2.9165,0.4405,0,0.82097,0,,0,0,,1.6631,0,0,0,0,0.10626,,0,0,,0,0,0,11.6582,,1.1482,0,0,0,0.021984,0,0.029312,,,0,1.1176,0,0,0,0,0.058624,,0,0,0,,,1.8822,,0,0,0,0.13918,0,2.3413,0,0.16854,0,27.9842,121.2495,0,0,,,0,0,0,0,0,0.029297,0,0.14633,0,0,0,1.1391,0.048875,0,0,0,0,0.003664,0,0,0,,0,0,0,0.095264,0.57333,0,0,,0,0,1.5938,0.014656,0,4.0165,,,0,25.8236,0,0.28946,718.4554,0,15.9609,0,11.5599,0,,,0,0,0
1964,0,0.084272,1.1908,,0,,0,6.4665,0.83401,0,0.0073278,3.5214,7.9246,0,0.095483,0.30881,0.0071814,4.1634,0.07328,0,0,0,,0.091374,0,0.028355,,0.16121,0,0.26747,0,0,0,0,0,34.1595,0,,0,0,0.10259,2.0299,1.3811,0,0,,0,0.37156,0,0,0,0.9885,0,0,0,0,0,0,0,0.098928,0,0,,0.34155,0,0,,0,0,10.7393,0,0,0.01832,0,2.1226,3.8252,0,,0,0,0,0,0,0,0,0,0,0,0,1.7183,0,0.021985,5.2432,2.3083,1.4583,0,0.054938,14.3046,0,4.0047,0,2.9545,0,0,,3.2165,0.54078,0,0.98916,0,,0,0,,1.9942,0,0,0,0,0.098879,,0,0,,0,0,0,13.4535,,1.3944,0,0,0,0.021984,0,0.007328,,0,0,1.5389,0,0,0,0,0.10264,,0,0,0,,0,2.3635,,0,0,0,0.65952,0,2.6821,0,0.15031,0,30.1584,147.2141,0,0,,,0,0,0,0,0,1.2384,0,0.20104,0,0,0,1.0704,0.066201,0,0,0,0,0.003664,0,0,0,0,0,0,0,0.30411,0.69062,0,0,,0,0,2.0848,0.01832,0,4.6866,,,0,31.6643,0,0.51296,759.0717,0,18.4686,0,12.7186,0,,,0,0,0
1965,0,0.08413,1.778,,0,,0,7.2474,0.94722,0,0.007328,3.4222,8.8703,0,0.095264,0.36383,0.007328,4.7782,0.095264,0,0,0,,0.10626,0,0.042599,,0.1942,0,0.32255,0.12459,0,0,0,0,38.036,0,,0,0,0.11358,2.1105,1.7035,0,0,,0,0.46985,0,0,0,0.89185,0,0,0,0,0,0,0,0.095251,0,0,,0.40179,0,0,,0,0,10.4086,0,0,0.021984,0,2.3933,5.5363,0,,0,0,0,0,0,0,0,0,0,0,0,2.3413,0,0.28213,6.0566,2.3781,0.95282,0,0.13557,14.5058,0,3.609,0,3.4732,0,0,,3.4438,0.63001,0,1.1375,0,,0,0,,2.2825,0,0,0,0,0.098971,,0,0,,0,0,0,15.7654,,1.6129,0,0,0,0.021984,0,0.014656,,0,0,3.0155,0,0,0,0,0.18692,,0,0,0,,0,2.8004,,0,0,0,0.62307,0,3.151,0,0.15398,0,33.489,170.2277,0,0,,,0,0,0,0,0,1.9749,0,0.30036,0,0,0,0.96214,0.093474,0,0,0,0,0.007328,0,0,0,0,0,0,0,0.56426,0.79357,0,0,,0,0,2.2481,0.018347,0,5.2636,,,0,36.8887,0,1.6854,782.6048,0,20.6003,0,13.4733,0,,,0,0,0
1966,0,0.10274,1.8503,,0,,0,7.8483,1.0338,0,0.007328,3.6717,9.5891,0,0.11358,0.40651,0.007328,5.2377,0.20151,0,0,0,,0.1319,0,0.04634,,0.24549,0,0.28946,0.18686,0,0,0,0,42.4218,0,,0,0,0.11356,2.5684,2.0225,0,0,,0,0.44509,0,0,0,0.99057,0,0,0,0,0,0,0,0.10626,0,0,,0.45091,0,0,,0,0,11.6259,0,0,0.021984,0,2.6018,6.6795,0,,0,0,0,0,0,0,0,0,0,0,0,3.1987,0,0.31144,6.0712,2.6822,1.0406,0,0.17958,15.8395,0,3.7007,0,3.8963,0,0,,4.7632,0.70096,0,1.2494,0,,0,0,,2.4985,0.010989,0,0,0,0.11358,,0,0,,0,0,0,17.012,,1.7822,0,0,0,0.025648,0,0.021984,,0,0,5.7195,0,0,0,0,0.33718,,0,0,0,,0,3.1705,,0,0,0,0.65201,0,3.7629,0,0.15755,0,36.0135,188.6175,0,0,,,0,0,0,0,0,2.1764,0,0.32519,0,0,0,1.0617,0.096051,0,0,0,0,0.014656,0,0,0,0,0,0,0,0.81356,0.87266,0,0,,0,0,2.6417,0.01832,0,5.7047,,,0,41.1158,0,1.6488,842.207,0,22.269,0,14.3262,0,,,0,0,0
1967,0.26014,0.12824,1.7909,,0,,0,8.2083,1.1014,0,0.007328,3.5174,10.0703,0,0.11358,0.47494,0.0072492,5.5613,0.92699,0,0,0,,0.13923,0,0.056811,,0.25648,0,0.29558,0.56796,0,0,0,0,45.0635,0,,0,0,0.12455,2.7993,2.1068,0,0,,0,0.42943,0,0,0,1.2162,0,0,0,0,0,0,0,0.10626,0,0,,0.50259,0,0,,0,0,13.1392,0,0,0.032976,0,2.7615,8.7753,0,,0,0,0,0,0,0,0,0,0,0,0,4.1327,0,0.48731,6.1225,2.8396,0.89035,0,0.20885,17.3011,0,3.9095,0,4.344,0,0,,5.1985,0.76973,0,1.3319,0,,0,0,,2.6545,0.007328,0,0,0,0.13923,,0,0,,0,0,0,19.8141,,1.9253,0,0,0,0.021984,0,0.014656,,0,0,10.3288,0,0,0,0,0.34808,,0,0,0,,0,3.696,,0,0,0,0.6009,0,4.7302,0,0.21618,0,39.5932,206.2914,0,0,,,0,0,0,0,0,2.1801,0,0.39532,0,0,0,1.2818,0.10553,0,0,0,0,0.007328,0,0,0,0,0,0.0036644,0,0.9673,0.93697,0,0,,0,0,2.9165,0.01832,0,6.0247,,,0,45.4194,0.86856,2.7773,881.2836,0,23.6058,0,15.6938,0,,,0,0,0
1968,0.34704,0.14656,1.8841,,0,,0,9.1417,1.1629,0,0.010992,3.7449,10.4792,0,0.51662,0.52946,0.0072674,5.864,2.3926,0,0,0,,0.12846,0,0.073701,,0.23082,0,0.28579,0.87564,0,0,0,0,55.5249,0,,0,0,0.12826,2.6857,2.1761,0,0,,0,0.4881,0,0,0,1.479,0,0,0,0,0,0,0.032976,0.10626,0,0,,0.55518,0,0,,0,0,15.5732,0,0,0.047632,0,2.9024,14.4655,0,,0,0,0,0,0,0,0,0,0,0,0,5.3278,0,0.75112,6.3094,3.0375,0.93083,0,0.27106,20.2216,0,4.2282,0,4.7993,0,0,,6.4094,0.83772,0,1.4093,0,,0,0,,2.8,0.010989,0,0,0,0.13557,,0,0,,0,0,0,19.8259,,2.0625,0,0,0,0.021984,0,0.021984,,0,0,17.0339,0,0,0,0,0.28213,,0,0,0,,0,4.1531,,0,0,0,0.68883,0,6.2765,0,0.98562,0,41.9162,223.3418,0,0,0,,0,0,0,0,0,3.147,0,0.50892,0,0,0,1.5529,0.12824,0,0,0,0,0.0036641,0,0,0,0,0,0.021984,0,1.3449,0.99751,0,0,,0,0,3.0594,0.021962,0,6.3028,,,0,49.6776,1.1505,6.2655,936.3608,0,24.7507,0,16.1994,0,,,0,0,0
1969,0,0.16854,2.4761,,0,,0,9.105,1.2231,0,0.48731,4.672,10.9212,0,0.59357,0.67314,0.0072725,6.1474,4.9536,0,0,0,,0.19025,0,0.094465,,0.2345,0,0.32243,0.90867,0,0,0,0,58.2979,0,,0,0,0.1429,3.7593,2.4256,0,0.0072749,0,0,0.57582,0,0,0,1.8285,0,0,0,0,0,0,0.03301,0.13559,0,0,,0.60147,0,0,,0,0,17.8196,0,0,0.047632,0,3.0452,20.621,0,,0,0,0,0,0,0,0,0,0,0,0,6.368,0,0.99663,4.9982,9.0208,1.4619,0,0.27107,22.3467,0,4.7192,0,5.2013,0,0,,7.1558,0.89847,0,1.4809,0,,0,0,,2.9381,0.01832,0,0,0,0.19786,,0,0,,0,0,0,19.5944,,2.1863,0,0,0,0.080608,0,0.032976,,0,0,18.5032,0,0,0,0,0.12091,,0,0,0,,0,5.0863,,0,0,0,0.70698,0,8.6799,0,1.6305,0,46.0177,238.8467,0,0,,,0,0,0,0,0,3.3489,0,0.64832,0,0,0,1.8964,0.15768,0,0,0,0,0.12824,0,0,0,0,0,0.025646,0.19053,1.6893,1.0536,0,0,,0,0,3.0741,0.021963,0,6.5934,,,0,53.4932,1.1322,12.2523,1018.0827,0,25.9761,0,16.674,0,,,0,0,0
